鄉鎮市區,交易標的,土地區段位置/建物區段門牌,土地移轉總面積(平方公尺),都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位類別,車位移轉總面積(平方公尺),車位總價(元),備註,編號
嘉義市,土地,湖子內段新民小段181~210地號,263.74,住,,,1070515,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,10132000,38417,,0.0,0,,RPPOMLLLOHNFFAI28CA
嘉義市,房地(土地+建物),嘉義市嘉義市博愛路二段181~210號,74.0,商,,,1070509,土地1建物1車位0,全,二層,透天厝,住商用,木造,0530815,110.4,3,2,2,有,無,7600000,68841,,0.0,0,,RPPQMLMLOHNFFAI58CA
嘉義市,房地(土地+建物),嘉義市嘉義市民國路151~180號,14.87,住,,,1070607,土地3建物1車位0,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0680417,72.38,2,2,1,有,有,1850000,25560,,0.0,0,,RPRQMLMLOHNFFAI78CA
嘉義市,房地(土地+建物),嘉義市嘉義市北社尾路397巷1~30號,103.96,住,,,1070525,土地2建物1車位0,全,三層,透天厝,見其他登記事項,見其他登記事項,1070109,206.29,3,2,3,有,無,9600000,46536,,0.0,0,,RPQNMLPLOHNFFAI68CA
嘉義市,房地(土地+建物),嘉義市嘉義市北社尾路397巷1~30號,115.92,住,,,1070525,土地2建物1車位0,全,三層,透天厝,見其他登記事項,見其他登記事項,1070109,182.14,3,2,3,有,無,8300000,45569,,0.0,0,,RPRNMLPLOHNFFAI78CA
嘉義市,房地(土地+建物),嘉義市嘉義市德安路1~30號,11.05,商,,,1070524,土地1建物1車位0,十二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830701,129.25,3,2,2,有,有,4400000,34043,,0.0,0,,RPVNMLPLOHNFFAI56CA
嘉義市,房地(土地+建物),嘉義市嘉義市國華街271~300號,5.04,商,,,1070530,土地1建物1車位0,七層,七層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0771108,30.86,1,1,1,有,有,1100000,35645,,0.0,0,,RPTNMLQLOHNFFAI09CA
嘉義市,房地(土地+建物),嘉義市嘉義市北港路362巷1~30號,132.0,住,,,1070428,土地1建物1車位0,全,四層,透天厝,住家用,見其他登記事項,1070409,264.38,4,3,5,有,無,18500000,69975,,0.0,0,,RPXNMLKMOHNFFAI98CA
嘉義市,房地(土地+建物),嘉義市嘉義市延平街361~390號,8.4,商,,,1070611,土地1建物1車位0,四層,六層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0841207,47.85,1,1,1,有,有,1500000,31348,,0.0,0,,RPPOMLMJPHNFFAI28CA
嘉義市,房地(土地+建物),嘉義市嘉義市康樂街121~150號,4.08,商,,,1070523,土地2建物1車位0,六層,六層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0801227,26.91,1,1,1,有,無,860000,31958,,0.0,0,,RPQOMLMJPHNFFAI38CA
嘉義市,土地,八掌段451~480地號,889.02,農,,,1070417,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3012000,3388,,0.0,0,,RPUNMLNJPHNFFAI78CA
